SampleName,E1,E2,E3,E4,E5,B1,B2,B3,Q1,Q2,Q3,V1,V2,V3,P1,P2,P3,P4,RAFT,E6,E7,E8,E9,E10,E11,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,V4,V5,V6,V7,V8,V9,P5,P6,P7,P9
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r25,-0.273105,-0.041711,-0.157408,0.115697,8.643266463,0.10707831,2.32532668,0.07813538,1.30588753,1.11297663,0.87997212,0.87373161,0.876189257,1.17355746,1.03754754,1.12516232,-0.1638,0.4671,0.318,0.3925,-0.1491,1.3847,0.0403,0.1418,0.136,0.1389,-0.0057,0.49,37.2,31.7,23.8,61.2,51.9,36.4,18.86145332,45.25438946,9.3643857,6.177177518
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r26,-0.2942,-0.059294,-0.176747,0.117453,8.514043915,0.132987246,2.37686275,1.50897602,1.31599712,1.14665798,0.87933215,0.87121534,0.874415353,1.15842328,1.07654982,1.131118393,-0.1086,0.4686,0.3421,0.4053,-0.1264,1.3881,0.0476,0.1433,0.1271,0.1352,-0.0162,0.463,39.3,33.9,25.7,59.9,50.6,35.3,18.12957773,42.49318907,9.083020754,6.629323679
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z08-r01,-0.27888,-0.045191,-0.1620355,0.1168445,8.55838315,0.112352328,0.05387106,1.58321213,1.21500761,1.38483695,0.80516058,0.80363228,0.80439643,0.92553359,0.92286414,0.923940983,-0.1602,0.466,0.3189,0.3925,-0.1471,1.3563,0.0439,0.163,0.1657,0.1644,0.0027,0.568,36.6,31.7,24.7,51.8,37.9,26.4,18.56034068,41.55445028,9.152117947,5.203635334
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z09-r01,-0.299674,-0.0632,-0.181437,0.118237,8.457589418,0.139209321,2.27977564,1.51294121,1.40780155,1.38920988,1.32729626,1.2989545,1.31312538,0.92255653,0.92136317,0.92214841,-0.1575,0.2634,0.2905,0.277,0.027,0.9236,0.0417,0.1165,0.1454,0.131,0.029,0.4367,36.7,30.1,22.7,51.9,36.4,24.6,18.02601906,37.99276565,8.602335289,5.185132371
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z10-r01,-0.286018,-0.051613,-0.1688155,0.1172025,8.532241206,0.121578776,2.25577722,1.49075995,1.4372325,1.39387606,1.29577111,1.2941772,1.294974155,0.92306758,0.92162172,0.922583687,-0.1758,0.1439,0.2819,0.2129,0.138,0.7203,0.0317,0.0681,0.1378,0.103,0.0696,0.3484,36.9,30.2,22.9,51.9,36.5,24.8,18.05615917,38.40884297,8.845706194,5.353170302
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z11-r01,-0.283784,-0.046586,-0.165185,0.118599,8.431774298,0.115035052,2.23917801,1.48609507,1.42795201,1.38997518,1.3908948,1.28458554,1.33774017,0.92379946,0.92255668,0.923385187,-0.1675,0.454,0.2595,0.3567,-0.1945,1.2388,0.0319,0.1442,0.1407,0.1425,-0.0035,0.4948,40.1,33.6,25.5,52,36.4,25.9,18.09173752,42.7838793,8.965575794,5.665576585
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z12-r01,-0.27584,-0.009985,-0.1429125,0.1329275,7.52289782,0.076823767,2.25867864,1.48772742,1.78438601,1.40915856,0.92536911,0.92221177,0.92379044,0.92678429,0.92433622,0.925963707,-0.2583,0.4734,0.339,0.4062,-0.1344,1.1709,-0.0049,0.2074,0.1732,0.1903,-0.0342,0.5486,32.8,25.3,16.7,47.4,31.3,18.3,16.4446665,38.25743537,8.757721308,4.056972344
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z13-r01,-0.264318,-0.008689,-0.1365035,0.1278145,7.823838453,0.072891595,2.14495535,1.42422706,1.66561251,1.40053288,1.24264134,1.24037223,1.241506785,0.92446994,0.9226123,0.92385029,-0.2624,0.4615,0.2935,0.3775,-0.168,1.129,0.0011,0.1182,0.1497,0.134,0.0314,0.4006,36.8,30.3,22.5,52.7,37,24.2,17.05188684,38.7923039,8.996763571,5.001359526
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z14-r01,-0.262619,-0.007683,-0.135151,0.127468,7.845106223,0.071648542,2.1237948,1.41107188,1.66218434,1.40108978,1.17710521,1.16515957,1.17113239,0.92442612,0.92243298,0.923640273,-0.2545,0.4952,0.0664,0.2808,-0.4288,0.8953,0.0039,0.1242,0.0328,0.0785,-0.0914,0.2504,38.6,33.2,26.3,53.7,39.6,28.1,17.41128771,42.10758215,8.839261769,5.563520528
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z15-r01,-0.287254,-0.045224,-0.166239,0.121015,8.263438417,0.114181734,2.32740374,1.59605978,1.57912097,1.39597431,1.31055606,1.31055606,1.31055606,0.92517587,0.92372313,0.924551037,-0.1632,0.4542,0.2945,0.3744,-0.1596,1.2593,0.0303,0.1483,0.1634,0.1558,0.015,0.5242,39.2,34,26.4,49.9,34.5,23.4,18.10666471,40.37545909,8.11107903,5.172901962
